country,code,year,trade,gini,unemploy,gdp_pc,inflation,tax
Canada,CAN,2016,65.36368452155557,32.7,7.038,43551.34260182594,1.42875954701085,12.496562633143968
Canada,CAN,2017,65.10106085046489,33.3,6.426,44339.388669275126,1.59688412852977,12.612016680984809
Canada,CAN,2018,66.59988585087616,32.5,5.837,44907.3436837248,2.26822567248103,13.057684669307484
Canada,CAN,2019,66.17148528049593,31.7,5.69,45100.291490326184,1.94926902411593,12.741688901490905
Costa Rica,CRI,1996,84.05716400610468,46.5,6.16,6871.609410464085,17.5114524814591,12.642815237021193
Costa Rica,CRI,1997,87.61319809787035,45.6,5.68,7085.988343022251,13.2480440791191,12.613164915420965
Costa Rica,CRI,1998,92.03802123661862,45.6,5.33,7430.172410628798,11.6592997742233,12.823864932675813
Costa Rica,CRI,1999,87.53861376773727,47.6,5.9,7584.421369777826,10.0452817292494,13.133758160714287
Costa Rica,CRI,2000,86.52492351307046,47.4,5.08,7726.519856820306,10.9615496593622,12.839712830579074
Costa Rica,CRI,2001,80.852758718109,51.5,6.051,7854.2339580182015,11.2556157091172,13.361033803688416
Costa Rica,CRI,2002,80.41394433600391,51.8,6.396,7989.559261021565,9.16752048509119,13.368108901545952
Costa Rica,CRI,2003,83.32770753556417,49.3,6.654,8207.45746763047,9.44758091616984,13.584951609794645
Costa Rica,CRI,2004,85.25647719658723,48.4,6.445,8445.529149457909,12.3148150178852,13.35892750017565
Costa Rica,CRI,2005,89.22266389232243,47.5,6.749,8655.33965418585,13.7982949108987,13.63539698521403
Costa Rica,CRI,2006,89.81455461369306,49.3,5.926,9160.294374532356,11.4705968149052,13.84166373862421
Costa Rica,CRI,2007,86.45659584393489,49.3,4.557,9779.511493898184,9.35724456417157,14.856470156059395
Costa Rica,CRI,2008,86.40151271132542,48.6,4.934,10104.909203969093,13.4244635507284,15.232509906693654
Costa Rica,CRI,2009,69.75931772515345,50.6,7.824,9883.67567046297,7.84270167700654,13.18307198825693
Costa Rica,CRI,2010,67.51208968410704,48,7.171,10285.085666041923,5.66275708420021,12.952542058666939
Costa Rica,CRI,2011,68.63914650740162,48.8,9.518,10612.469486114143,4.87799830970702,13.20898686543284
Costa Rica,CRI,2012,67.04853929509761,48.4,9.11,11001.51928565757,4.49545314354605,13.10529606568251
Costa Rica,CRI,2013,64.06641058794423,49.2,8.218,11151.14378697677,5.23133614174428,13.416824749449033
Costa Rica,CRI,2014,65.19124205323678,48.6,8.499,11422.673579317625,4.51920098516954,13.045588962638844
Costa Rica,CRI,2015,60.75356193952099,48.4,8.415,11714.710598073205,0.801982005099623,13.253994216445511
Costa Rica,CRI,2016,62.17847817682954,48.7,8.085,12084.435132563423,-0.0174788505908217,13.510854335455742
Costa Rica,CRI,2017,65.07195374388154,48.3,7.729,12468.565453170933,1.62590692991732,13.24410255461098
Costa Rica,CRI,2018,66.94534201663602,48,9.01,12679.525364301557,2.22111461526581,13.182148685143243
Costa Rica,CRI,2019,65.76053001766219,48.2,10.807,12877.650101079042,2.09604635327807,13.374207610688089
France,FRA,1996,46.11248015896406,32,12.367,29683.778606086402,1.98288365089738,20.472284218985532
France,FRA,1997,49.803453474736,31.9,12.566,30325.522874267772,1.20394294026962,21.151703087892614
France,FRA,1998,51.421432803077074,31.7,12.074,31256.50738711783,0.651126867833049,23.122404401457725
France,FRA,1999,51.670661463873365,32.5,11.981,32152.720741324352,0.537141639134645,23.73117404031687
France,FRA,2000,57.786047031819706,32.6,10.218,33255.1379678188,1.67595988720927,23.47234063692364
France,FRA,2001,56.89323285607223,32.5,8.61,33640.67380106276,1.63478079549601,23.498649637739007
France,FRA,2002,55.13252485031017,31.8,8.702,33753.57829196828,1.9234122872706,22.702977779557436
France,FRA,2003,52.59888228706573,31.4,8.306,33840.61756436194,2.09847219146923,22.230731336151695
France,FRA,2004,53.749764829202775,30.6,8.914,34557.14711909525,2.14208964640241,22.26633367680602
France,FRA,2005,55.82283612412989,29.8,8.882,34946.037244147235,1.74586936380482,22.34428727440239
France,FRA,2006,57.86927752926727,29.7,8.832,35645.416247825015,1.67512449608723,22.603862318344408
France,FRA,2007,58.15256113096589,32.4,8.008,36322.168511678145,1.4879980595386,22.16173447190618
France,FRA,2008,59.1797928411748,33,7.386,36257.365886945845,2.81286194914787,22.031561110285594
France,FRA,2009,52.19911230276135,32.7,9.122,35052.85108368215,0.0876204781574552,20.707649319401465
France,FRA,2010,56.58755524779604,33.7,9.279,35578.19679588139,1.53112270420926,21.94401403033383
France,FRA,2011,60.60563548164058,33.3,9.228,36269.956158998386,2.11159795174994,21.776537729178028
France,FRA,2012,61.65895707711015,33.1,9.841,36161.29183342091,1.9541953161351,22.53632128193892
France,FRA,2013,61.81923387339621,32.5,9.913,36256.08668896232,0.863715497861805,23.176294463197358
France,FRA,2014,62.19926693795067,32.3,10.273,36444.39491358274,0.50775882293799,23.118742057685793
France,FRA,2015,63.504687195648444,32.7,10.354,36702.432373337935,0.0375143805125182,23.166422700882926
France,FRA,2016,63.342756438335144,31.9,10.057,36920.53428710446,0.18333486112386,23.088698224300607
France,FRA,2017,65.39584815597112,31.6,9.409,37580.59793194857,1.03228275064662,23.686678836775023
